p1                        p2     rg      se       z       p  h2_obs  h2_obs_se  h2_int  h2_int_se  gcov_int  gcov_int_se
GWAS_tanning_UKBB.ma.sumstats.gz  AD_meta2.smy.sumstats.gz -0.041  0.0381 -1.0775  0.2813  0.0073     0.0041  1.0708     0.0492    0.0063       0.0047
GWAS_tanning_UKBB.ma.sumstats.gz  GWAS_tanning_UKBB.ma.sumstats.gz  0.9995  0.0003  3052.9584  0.0  0.1546     0.0696  1.0047     0.0497    1.0048       0.0496
GWAS_tanning_UKBB.ma.sumstats.gz  MEGASTROKE.1.AS.TRANS.out.sumstats.gz  0.0044  0.0305  0.1426  0.8866  0.0127     0.0013  1.0435     0.0073    0.0005       0.0047
GWAS_tanning_UKBB.ma.sumstats.gz  META_ANALYSIS_10K23_beta_se_correctGC1_pdgene_sharing_280317.ma.sumstats.gz  0.0165  0.0364  0.4537  0.65   0.041     0.0064  0.9846     0.0075    0.0011       0.0045
GWAS_tanning_UKBB.ma.sumstats.gz  alzheimers_igap_2013.txt.sumstats.gz  0.063  0.0449  1.4055  0.1599  0.0413     0.0178  1.0647     0.0256   -0.0028       0.0046
GWAS_tanning_UKBB.ma.sumstats.gz  amd_csg_2016.txt.sumstats.gz -0.0016  0.0193 -0.0825  0.9342  0.3762     0.1596  0.9211      0.036   -0.0004       0.0042
GWAS_tanning_UKBB.ma.sumstats.gz  asd_robinson_2015.txt.sumstats.gz -0.0281  0.031 -0.9075  0.3641  0.1623     0.0167  0.9614     0.0067  6.2289e-05       0.0038
GWAS_tanning_UKBB.ma.sumstats.gz  baso_cam_2016.txt.sumstats.gz -0.0132  0.0222 -0.5917  0.5541  0.0709     0.0099  0.9981     0.0181   -0.0012       0.0048
GWAS_tanning_UKBB.ma.sumstats.gz  baso_neut_sum_cam_2016.txt.sumstats.gz -0.0081  0.0165 -0.4922  0.6226  0.1593     0.0185  0.9534     0.0209   -0.0069       0.0044
GWAS_tanning_UKBB.ma.sumstats.gz  baso_p_cam_2016.txt.sumstats.gz -0.011  0.0263 -0.4194  0.6749  0.0551     0.0095  1.0037     0.0188   -0.0004       0.0048
GWAS_tanning_UKBB.ma.sumstats.gz  baso_p_gran_cam_2016.txt.sumstats.gz -0.0124  0.0244 -0.5076  0.6118  0.0567     0.0089  1.0004     0.0166    0.0021       0.0048
GWAS_tanning_UKBB.ma.sumstats.gz  bip_pgc_2014.txt.sumstats.gz -0.0027  0.023 -0.1197  0.9047  0.3891     0.0321  1.0179     0.0079   -0.0009       0.0042
GWAS_tanning_UKBB.ma.sumstats.gz  bmi_giant_2015.txt.sumstats.gz -0.0022  0.014 -0.159  0.8736  0.1388     0.0077  0.6406     0.0099   -0.0006       0.0043
GWAS_tanning_UKBB.ma.sumstats.gz  cad_cardiogram_2015.txt.sumstats.gz  0.0235  0.0215  1.0959  0.2731  0.0676     0.0048  0.8833     0.0084    0.0032        0.004
GWAS_tanning_UKBB.ma.sumstats.gz  cd_iibdgc_2015.txt.sumstats.gz  0.0106  0.0254  0.4186  0.6755  0.3835      0.044   1.019     0.0111   -0.0015       0.0052
GWAS_tanning_UKBB.ma.sumstats.gz  combined_ukb_gera_ALLERGIC_RHINITIS_1000g_m01_u05_geno.txt.sumstats.gz  0.0416  0.0508  0.8193  0.4126  0.0214     0.0042  1.0045      0.008   -0.0128       0.0045
GWAS_tanning_UKBB.ma.sumstats.gz  combined_ukb_gera_ASTHMA_1000g_m01_u05_geno.txt.sumstats.gz  0.0072  0.0291  0.2491  0.8033  0.0563     0.0061  1.0062     0.0095   -0.0046       0.0047
GWAS_tanning_UKBB.ma.sumstats.gz  combined_ukb_gera_CANCER_1000g_m01_u05_geno.txt.sumstats.gz  0.0388  0.0832  0.4668  0.6407  0.0253     0.0044  0.9982     0.0086   -0.0128       0.0072
GWAS_tanning_UKBB.ma.sumstats.gz  combined_ukb_gera_CARD_1000g_m01_u05_geno.txt.sumstats.gz -0.0047  0.0273 -0.172  0.8635  0.0312     0.0035   0.996     0.0072   -0.0004       0.0038
GWAS_tanning_UKBB.ma.sumstats.gz  combined_ukb_gera_DEPRESS_1000g_m01_u05_geno.txt.sumstats.gz  0.0165  0.0413  0.3993  0.6896  0.0239     0.0033  1.0055      0.007   -0.0094       0.0046
GWAS_tanning_UKBB.ma.sumstats.gz  combined_ukb_gera_DERMATOPHYTOSIS_1000g_m01_u05_geno.txt.sumstats.gz  0.1101  0.0777  1.4176  0.1563  0.0164     0.0089  1.0017     0.0067   -0.0019       0.0044
GWAS_tanning_UKBB.ma.sumstats.gz  combined_ukb_gera_DIA2_1000g_m01_u05_geno.txt.sumstats.gz -0.0249  0.0247 -1.0082  0.3133  0.0527     0.0044  1.0393     0.0085   -0.0102       0.0044
GWAS_tanning_UKBB.ma.sumstats.gz  combined_ukb_gera_DYSLIPID_1000g_m01_u05_geno.txt.sumstats.gz -0.0147  0.0238 -0.6192  0.5358  0.0697     0.0083  1.0281     0.0188    -0.006       0.0047
GWAS_tanning_UKBB.ma.sumstats.gz  combined_ukb_gera_HEMORRHOIDS_1000g_m01_u05_geno.txt.sumstats.gz -0.0038  0.0542 -0.0709  0.9435  0.0093      0.003  1.0019     0.0065    0.0003       0.0041
GWAS_tanning_UKBB.ma.sumstats.gz  combined_ukb_gera_HERNIA_ABDOMINOPELVIC_1000g_m01_u05_geno.txt.sumstats.gz -0.0341  0.0415 -0.8214  0.4114   0.017     0.0035  1.0098     0.0066   -0.0059       0.0041
GWAS_tanning_UKBB.ma.sumstats.gz  combined_ukb_gera_HYPER_1000g_m01_u05_geno.txt.sumstats.gz  0.02  0.0219  0.9134  0.3611   0.124     0.0062  1.0142     0.0106   -0.0177       0.0046
GWAS_tanning_UKBB.ma.sumstats.gz  combined_ukb_gera_INSOMNIA_1000g_m01_u05_geno.txt.sumstats.gz -0.0306  0.0519 -0.5882  0.5564    0.01     0.0029  0.9935      0.007    0.0027       0.0042
GWAS_tanning_UKBB.ma.sumstats.gz  combined_ukb_gera_IRON_DEFICIENCY_1000g_m01_u05_geno.txt.sumstats.gz  0.0095  0.0975  0.0977  0.9221  0.0043     0.0026  1.0064     0.0062    -0.004       0.0049
GWAS_tanning_UKBB.ma.sumstats.gz  combined_ukb_gera_IRRITABLE_BOWEL_1000g_m01_u05_geno.txt.sumstats.gz -0.0226  0.0533 -0.4252  0.6707  0.0106      0.003  0.9987     0.0068   -0.0068       0.0047
GWAS_tanning_UKBB.ma.sumstats.gz  combined_ukb_gera_MACDEGEN_1000g_m01_u05_geno.txt.sumstats.gz  0.063  0.0562  1.1218  0.262  0.0136     0.0077  1.0067     0.0113   -0.0026       0.0043
GWAS_tanning_UKBB.ma.sumstats.gz  combined_ukb_gera_OSTIOA_1000g_m01_u05_geno.txt.sumstats.gz -0.0296  0.0278 -1.0659  0.2865  0.0327     0.0037  1.0196     0.0073    0.0013       0.0042
GWAS_tanning_UKBB.ma.sumstats.gz  combined_ukb_gera_OSTIOP_1000g_m01_u05_geno.txt.sumstats.gz -0.0288  0.0293 -0.9855  0.3244  0.0242     0.0035  1.0102     0.0076    0.0004       0.0038
GWAS_tanning_UKBB.ma.sumstats.gz  combined_ukb_gera_PEPTIC_ULCERS_1000g_m01_u05_geno.txt.sumstats.gz -0.0076  0.0725 -0.1054  0.916  0.0064     0.0029  1.0003     0.0063   -0.0027       0.0044
GWAS_tanning_UKBB.ma.sumstats.gz  combined_ukb_gera_PSYCHIATRIC_1000g_m01_u05_geno.txt.sumstats.gz  0.0164  0.0494  0.3316  0.7402  0.0163      0.003  1.0093     0.0066   -0.0071       0.0048
GWAS_tanning_UKBB.ma.sumstats.gz  combined_ukb_gera_PVD_1000g_m01_u05_geno.txt.sumstats.gz  0.0176  0.0648  0.2716  0.7859  0.0076      0.003  1.0116     0.0067    0.0006       0.0044
GWAS_tanning_UKBB.ma.sumstats.gz  combined_ukb_gera_STRESS_1000g_m01_u05_geno.txt.sumstats.gz -0.089  0.0734 -1.2132  0.225   0.005      0.003  0.9997     0.0068     0.001       0.0041
GWAS_tanning_UKBB.ma.sumstats.gz  combined_ukb_gera_SUM_DISEASES_1000g_m01_u05_geno.txt.sumstats.gz  0.0203  0.0254  0.7993  0.4241  0.0808     0.0046  1.0311     0.0085   -0.0248       0.0048
GWAS_tanning_UKBB.ma.sumstats.gz  combined_ukb_gera_VARICOSE_VEINS_1000g_m01_u05_geno.txt.sumstats.gz -0.0445  0.042 -1.0611  0.2887  0.0162     0.0034  1.0133     0.0082    0.0063       0.0041
GWAS_tanning_UKBB.ma.sumstats.gz  dbp_ukb_v1_2016.txt.sumstats.gz  0.0149  0.0211  0.7064  0.4799  0.1353     0.0076   1.012     0.0085   -0.0124       0.0042
GWAS_tanning_UKBB.ma.sumstats.gz  depressive_symptoms_ssgac_2016.txt.sumstats.gz  0.0324  0.0278  1.1683  0.2427  0.0477     0.0041  0.9978     0.0081   -0.0188        0.005
GWAS_tanning_UKBB.ma.sumstats.gz  eduyears_ssgac_2016.txt.sumstats.gz  0.0067  0.0135  0.4966  0.6195   0.112     0.0037  0.9294     0.0106    -0.016       0.0044
GWAS_tanning_UKBB.ma.sumstats.gz  eduyears_ssgac_2016_pruned.txt.sumstats.gz  NA  NA  NA  NA  0.4206     0.0603  12.7356     0.3508    0.1727        0.401
GWAS_tanning_UKBB.ma.sumstats.gz  eo_baso_sum_cam_2016.txt.sumstats.gz  0.0068  0.0166  0.4108  0.6812  0.1746       0.02  0.9601      0.025   -0.0045        0.005
GWAS_tanning_UKBB.ma.sumstats.gz  eo_cam_2016.txt.sumstats.gz  0.0118  0.0164  0.7223  0.4701  0.1834     0.0211  0.9555     0.0264   -0.0054       0.0049
GWAS_tanning_UKBB.ma.sumstats.gz  eo_p_cam_2016.txt.sumstats.gz  0.0136  0.0173  0.7867  0.4315  0.1782     0.0194  0.9525     0.0249   -0.0034       0.0049
GWAS_tanning_UKBB.ma.sumstats.gz  eo_p_gran_cam_2016.txt.sumstats.gz  0.0136  0.0175  0.7751  0.4383  0.1722     0.0186  0.9504     0.0237   -0.0016       0.0049
GWAS_tanning_UKBB.ma.sumstats.gz  gran_cam_2016.txt.sumstats.gz -0.0057  0.0163 -0.3507  0.7258  0.1594     0.0184  0.9562      0.021   -0.0078       0.0044
GWAS_tanning_UKBB.ma.sumstats.gz  gran_p_myeloid_wbc_cam_2016.txt.sumstats.gz  0.0065  0.0187  0.3482  0.7277  0.1562     0.0176  1.0135       0.03   -0.0097       0.0052
GWAS_tanning_UKBB.ma.sumstats.gz  hct_cam_2016.txt.sumstats.gz -0.0027  0.0235 -0.1136  0.9096  0.1318      0.013   1.002     0.0238    0.0022       0.0051
GWAS_tanning_UKBB.ma.sumstats.gz  hdl_glgc_2013.txt.sumstats.gz  0.0648  0.0221  2.9332  0.0034  0.2385     0.0362  0.8024     0.0245    -0.017       0.0049
GWAS_tanning_UKBB.ma.sumstats.gz  height_giant_2014.txt.sumstats.gz  0.0255  0.0164  1.5618  0.1183  0.3433     0.0175  1.2192     0.0322   -0.0158       0.0064
GWAS_tanning_UKBB.ma.sumstats.gz  hgb_cam_2016.txt.sumstats.gz  0.0032  0.0242  0.1314  0.8955  0.1304     0.0125  1.0025     0.0241    0.0012       0.0051
GWAS_tanning_UKBB.ma.sumstats.gz  hlr_cam_2016.txt.sumstats.gz  0.0059  0.0197  0.2978  0.7659   0.163     0.0203  1.0291     0.0453   -0.0065       0.0058
GWAS_tanning_UKBB.ma.sumstats.gz  hlr_p_cam_2016.txt.sumstats.gz  0.0037  0.0195  0.1902  0.8491  0.1631     0.0196  1.0275     0.0458   -0.0056       0.0057
GWAS_tanning_UKBB.ma.sumstats.gz  icv_enigma_2016.txt.sumstats.gz -0.0362  0.0305 -1.1862  0.2356  0.2413     0.0273  1.0269     0.0086    0.0014       0.0046
GWAS_tanning_UKBB.ma.sumstats.gz  icv_reported_enigma_2016.txt.sumstats.gz  NA  NA  NA  NA     NA        NA     NA        NA       NA          NA
GWAS_tanning_UKBB.ma.sumstats.gz  input.sumstats.gz  0.0064  0.0252  0.2527  0.8005  0.0781     0.0188  1.0235      0.011    0.0058       0.0043
GWAS_tanning_UKBB.ma.sumstats.gz  iq_ukb_bolt_2017.txt.sumstats.gz  0.0125  0.0162  0.77  0.4413  0.3007     0.0115  1.0452      0.011   -0.0162       0.0058
GWAS_tanning_UKBB.ma.sumstats.gz  iq_vu_2017.txt.sumstats.gz -0.0041  0.0219 -0.1871  0.8516  0.1982     0.0101  1.0082     0.0079   -0.0069       0.0051
GWAS_tanning_UKBB.ma.sumstats.gz  irf_cam_2016.txt.sumstats.gz -0.0194  0.021 -0.9249  0.355  0.1155     0.0145  1.0314      0.041    0.0016       0.0052
GWAS_tanning_UKBB.ma.sumstats.gz  ldl_glgc_2013.txt.sumstats.gz -0.0464  0.0219 -2.1195  0.034  0.2043     0.0492  0.8783     0.0559    0.0121       0.0048
GWAS_tanning_UKBB.ma.sumstats.gz  lymph_cam_2016.txt.sumstats.gz -0.0083  0.0173 -0.481  0.6305  0.1801     0.0153  0.9663     0.0216    0.0054       0.0047
GWAS_tanning_UKBB.ma.sumstats.gz  lymph_p_cam_2016.txt.sumstats.gz  0.0018  0.0169  0.108  0.914  0.1435     0.0111  0.9693     0.0161    0.0087       0.0048
GWAS_tanning_UKBB.ma.sumstats.gz  mch_cam_2016.txt.sumstats.gz -0.0044  0.015 -0.2935  0.7691  0.2214     0.0249  0.9964     0.0402    0.0071       0.0049
GWAS_tanning_UKBB.ma.sumstats.gz  mchc_cam_2016.txt.sumstats.gz  0.017  0.02  0.8533  0.3935  0.0937     0.0103  0.9774     0.0183 -5.5290e-06       0.0044
GWAS_tanning_UKBB.ma.sumstats.gz  mcv_cam_2016.txt.sumstats.gz -0.0141  0.014 -1.0049  0.3149  0.2364     0.0252  0.9951     0.0376    0.0099        0.005
GWAS_tanning_UKBB.ma.sumstats.gz  mdd_pgc_mega_2013.txt.sumstats.gz  0.065  0.0417  1.558  0.1192  0.1741     0.0277  1.0029     0.0068    -0.004       0.0047
GWAS_tanning_UKBB.ma.sumstats.gz  mono_cam_2016.txt.sumstats.gz -0.0154  0.0176 -0.874  0.3821  0.1872      0.021  1.0431     0.0338    0.0052       0.0051
GWAS_tanning_UKBB.ma.sumstats.gz  mono_p_cam_2016.txt.sumstats.gz -0.0089  0.0188 -0.475  0.6348  0.1697     0.0203  1.0297     0.0351    0.0093       0.0054
GWAS_tanning_UKBB.ma.sumstats.gz  mpv_cam_2016.txt.sumstats.gz  0.0236  0.0143  1.6541  0.0981   0.261      0.038  0.9988     0.0484   -0.0065        0.005
GWAS_tanning_UKBB.ma.sumstats.gz  myeloid_wbc_cam_2016.txt.sumstats.gz -0.0088  0.0162 -0.5457  0.5853  0.1631     0.0177  0.9592     0.0206   -0.0061       0.0044
GWAS_tanning_UKBB.ma.sumstats.gz  neuroticism_ssgac_2016.txt.sumstats.gz  0.033  0.0191  1.7285  0.0839  0.0901     0.0061  0.9821     0.0108   -0.0218        0.005
GWAS_tanning_UKBB.ma.sumstats.gz  neut_cam_2016.txt.sumstats.gz -0.0091  0.0166 -0.5484  0.5834  0.1587     0.0183   0.954     0.0207   -0.0068       0.0044
GWAS_tanning_UKBB.ma.sumstats.gz  neut_eo_sum_cam_2016.txt.sumstats.gz -0.0069  0.0164 -0.423  0.6723  0.1589     0.0182  0.9564     0.0209   -0.0077       0.0044
GWAS_tanning_UKBB.ma.sumstats.gz  neut_p_cam_2016.txt.sumstats.gz -0.0012  0.0169 -0.0689  0.9451  0.1385     0.0116  0.9577     0.0169   -0.0085       0.0048
GWAS_tanning_UKBB.ma.sumstats.gz  neut_p_gran_cam_2016.txt.sumstats.gz -0.0092  0.0179 -0.5144  0.607  0.1614     0.0171  0.9491     0.0216    0.0006        0.005
GWAS_tanning_UKBB.ma.sumstats.gz  pct_cam_2016.txt.sumstats.gz -0.0322  0.0189 -1.7002  0.0891  0.2047     0.0178  1.0044     0.0248    0.0046       0.0045
GWAS_tanning_UKBB.ma.sumstats.gz  pdw_cam_2016.txt.sumstats.gz  0.0314  0.0162  1.9356  0.0529   0.165     0.0214  0.9912     0.0336   -0.0171       0.0053
GWAS_tanning_UKBB.ma.sumstats.gz  plt_cam_2016.txt.sumstats.gz -0.0381  0.0196 -1.9425  0.0521  0.2274     0.0184  0.9924      0.027    0.0078       0.0047
GWAS_tanning_UKBB.ma.sumstats.gz  ra_okada_2014.txt.sumstats.gz  0.0163  0.0222  0.7337  0.4631  0.1159     0.0208  0.9403     0.0126   -0.0037       0.0046
GWAS_tanning_UKBB.ma.sumstats.gz  rbc_cam_2016.txt.sumstats.gz  0.007  0.0187  0.3754  0.7073   0.186     0.0184  0.9996     0.0257   -0.0039       0.0052
GWAS_tanning_UKBB.ma.sumstats.gz  rdw_cam_2016.txt.sumstats.gz -0.0038  0.0199 -0.1883  0.8506  0.1893     0.0226  0.9564     0.0264    -0.002       0.0055
GWAS_tanning_UKBB.ma.sumstats.gz  ret_cam_2016.txt.sumstats.gz  0.0188  0.0186  1.0108  0.3121  0.1689     0.0213   1.018      0.044     -0.01       0.0055
